,user_id,connection_start_datetime,connection_end_datetime,active_hour_int,date_str,day_date,year_num,month_num,week_of_year_num,day_num,day_of_week,day_of_week_name
118,102913,2017-10-28 07:20,2017-10-28 07:33,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
119,103199,2017-10-28 09:05,2017-10-28 09:28,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
120,103479,2017-10-28 19:50,2017-10-28 20:41,19,20171028,2017-10-28,2017,10,43,28,6,Saturday
121,103479,2017-10-28 19:50,2017-10-28 20:41,20,20171028,2017-10-28,2017,10,43,28,6,Saturday
122,103800,2017-10-28 12:30,2017-10-28 12:37,12,20171028,2017-10-28,2017,10,43,28,6,Saturday
123,105134,2017-10-28 08:55,2017-10-28 09:09,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
124,105134,2017-10-28 08:55,2017-10-28 09:09,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
125,105642,2017-10-28 06:19,2017-10-28 06:40,6,20171028,2017-10-28,2017,10,43,28,6,Saturday
126,105790,2017-10-28 00:28,2017-10-28 00:33,0,20171028,2017-10-28,2017,10,43,28,6,Saturday
127,105852,2017-10-28 09:09,2017-10-28 09:29,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
128,106181,2017-10-28 10:12,2017-10-28 10:31,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
129,106601,2017-10-28 00:19,2017-10-28 00:46,0,20171028,2017-10-28,2017,10,43,28,6,Saturday
130,106605,2017-10-28 14:30,2017-10-28 14:50,14,20171028,2017-10-28,2017,10,43,28,6,Saturday
131,107051,2017-10-28 10:12,2017-10-28 10:17,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
132,107304,2017-10-28 08:43,2017-10-28 09:18,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
133,107304,2017-10-28 08:43,2017-10-28 09:18,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
134,107365,2017-10-28 10:13,2017-10-28 10:18,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
135,107552,2017-10-28 16:07,2017-10-28 16:19,16,20171028,2017-10-28,2017,10,43,28,6,Saturday
136,108756,2017-10-28 15:53,2017-10-28 16:08,15,20171028,2017-10-28,2017,10,43,28,6,Saturday
137,108756,2017-10-28 15:53,2017-10-28 16:08,16,20171028,2017-10-28,2017,10,43,28,6,Saturday
138,109009,2017-10-28 06:57,2017-10-28 07:40,6,20171028,2017-10-28,2017,10,43,28,6,Saturday
139,109009,2017-10-28 06:57,2017-10-28 07:40,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
140,109728,2017-10-28 06:37,2017-10-28 07:35,6,20171028,2017-10-28,2017,10,43,28,6,Saturday
141,109728,2017-10-28 06:37,2017-10-28 07:35,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
142,109754,2017-10-28 07:41,2017-10-28 07:43,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
143,110010,2017-10-28 11:25,2017-10-28 12:07,11,20171028,2017-10-28,2017,10,43,28,6,Saturday
144,110010,2017-10-28 11:25,2017-10-28 12:07,12,20171028,2017-10-28,2017,10,43,28,6,Saturday
145,110025,2017-10-28 08:30,2017-10-28 09:12,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
